"Country","year","value"
"Argentina","1970",13.24435
"Australia","1970",15.81655
"Chile","1970",8.42936
"Singapore","1970",6.48053
"Argentina","1971",15.30603
"Australia","1971",17.09435
"Austria","1971",12.19837
"Chile","1971",10.44299
"Spain","1971",8.66627
"Finland","1971",13.12739
"Greece","1971",12.91523
"Korea, Rep.","1971",6.77977
"Argentina","1972",16.48376
"Australia","1972",18.38301
"Austria","1972",13.66956
"Chile","1972",12.67716
"Spain","1972",9.64645
"Finland","1972",13.63912
"Greece","1972",12.97783
"Korea, Rep.","1972",6.97746
"Argentina","1973",19.61808
"Australia","1973",19.59013
"Austria","1973",15.1084
"Chile","1973",14.1505
"Spain","1973",14.12903
"Finland","1973",14.27228
"Greece","1973",14.04695
"Korea, Rep.","1973",7.15065
"Argentina","1974",22.74869
"Australia","1974",21.81735
"Austria","1974",15.99359
"Chile","1974",13.65225
"Spain","1974",15.3979
"Finland","1974",15.70298
"Greece","1974",14.83285
"Korea, Rep.","1974",7.35911
"Argentina","1975",26.97598
"Australia","1975",23.2816
"Austria","1975",16.67404
"Chile","1975",13.79782
"Spain","1975",16.83543
"Finland","1975",16.92126
"Greece","1975",16.68581
"Korea, Rep.","1975",7.5631
"Argentina","1976",27.07182
"Australia","1976",24.0753
"Austria","1976",18.54498
"Chile","1976",12.17424
"Spain","1976",19.50149
"Finland","1976",27.5932
"Greece","1976",16.99449
"Korea, Rep.","1976",8.30366
"Argentina","1977",24.07762
"Australia","1977",24.43743
"Austria","1977",19.28278
"Chile","1977",11.77925
"Spain","1977",20.33963
"Finland","1977",29.33499
"Greece","1977",17.20153
"Korea, Rep.","1977",8.56018
"Argentina","1978",21.38019
"Australia","1978",24.78084
"Austria","1978",19.72423
"Chile","1978",11.51806
"Spain","1978",22.5071
"Finland","1978",30.63041
"Greece","1978",16.05128
"Korea, Rep.","1978",9.20726
"Argentina","1979",22.22991
"Australia","1979",25.00352
"Austria","1979",20.42885
"Chile","1979",11.01303
"Spain","1979",20.84601
"Finland","1979",31.2407
"Greece","1979",16.14664
"Korea, Rep.","1979",10.35239
"Argentina","1980",21.73469
"Australia","1980",25.15469
"Austria","1980",21.36817
"Chile","1980",12.36781
"Spain","1980",22.04274
"Finland","1980",31.70911
"Greece","1980",15.58304
"Korea, Rep.","1980",12.43601
"Argentina","1981",23.10263
"Australia","1981",25.58523
"Austria","1981",22.30216
"Spain","1981",22.07073
"Finland","1981",32.10808
"Greece","1981",16.08688
"Korea, Rep.","1981",14.86618
"Argentina","1982",23.83
"Australia","1982",25.64088
"Austria","1982",22.46463
"Chile","1982",13.07453
"Spain","1982",22.50327
"Finland","1982",32.62285
"Greece","1982",16.63325
"Korea, Rep.","1982",19.0698
"Argentina","1983",24.83893
"Australia","1983",26.36246
"Austria","1983",22.98781
"Chile","1983",14.60267
"Spain","1983",23.13824
"Finland","1983",33.36182
"Greece","1983",18.38873
"Korea, Rep.","1983",23.6787
"Argentina","1984",28.67647
"Australia","1984",27.00481
"Austria","1984",23.9428
"Chile","1984",15.34016
"Spain","1984",24.81539
"Finland","1984",31.45317
"Greece","1984",19.8196
"Korea, Rep.","1984",27.73247
"Argentina","1985",35.49595
"Australia","1985",27.91073
"Austria","1985",25.52486
"Chile","1985",15.98257
"Spain","1985",26.15633
"Finland","1985",31.92318
"Greece","1985",22.25793
"Korea, Rep.","1985",30.94176
"Argentina","1986",37.42499
"Australia","1986",29.51505
"Austria","1986",26.70454
"Chile","1986",17.30162
"Spain","1986",28.56327
"Finland","1986",34.06825
"Greece","1986",23.80635
"Korea, Rep.","1986",33.42633
"Argentina","1987",39.22065
"Australia","1987",29.68459
"Austria","1987",27.81727
"Chile","1987",18.0979
"Spain","1987",29.87708
"Finland","1987",36.04206
"Greece","1987",25.47027
"Korea, Rep.","1987",34.60769
"Australia","1988",31.49957
"Austria","1988",29.37026
"Chile","1988",18.95202
"Spain","1988",31.7562
"Finland","1988",38.09205
"Greece","1988",23.98855
"Korea, Rep.","1988",35.15267
"Australia","1989",32.65396
"Austria","1989",30.58759
"Spain","1989",33.71252
"Finland","1989",40.97916
"Greece","1989",23.53121
"Korea, Rep.","1989",35.47945
"Australia","1990",35.35955
"Austria","1990",32.53644
"Spain","1990",35.55822
"Finland","1990",44.46063
"Greece","1990",24.187
"Korea, Rep.","1990",36.53218
"Argentina","1991",38.11911
"Australia","1991",38.31347
"Austria","1991",34.69429
"Chile","1991",21.15908
"Spain","1991",37.03936
"Finland","1991",48.88246
"Greece","1991",35.11136
"Korea, Rep.","1991",37.59777
"Australia","1992",39.70084
"Austria","1992",37.61071
"Chile","1992",24.01112
"Spain","1992",39.27051
"Finland","1992",52.93727
"Greece","1992",33.54804
"Korea, Rep.","1992",39.18864
"Australia","1993",65.56422
"Austria","1993",39.76938
"Chile","1993",26.18572
"Spain","1993",41.17985
"Finland","1993",59.36272
"Greece","1993",36.78599
"Korea, Rep.","1993",42.95519
"Argentina","1994",37.00133
"Australia","1994",66.97922
"Austria","1994",42.2646
"Chile","1994",26.92556
"Spain","1994",44.04142
"Finland","1994",63.99895
"Greece","1994",38.38496
"Korea, Rep.","1994",44.5598
"Australia","1995",70.68857
"Austria","1995",44.97695
"Chile","1995",27.43599
"Spain","1995",45.729
"Finland","1995",67.40026
"Greece","1995",35.95558
"Korea, Rep.","1995",48.32634
"Australia","1996",75.64778
"Austria","1996",47.49055
"Chile","1996",29.20949
"Spain","1996",47.67777
"Finland","1996",70.33548
"Greece","1996",39.62036
"Korea, Rep.","1996",53.73017
"Australia","1997",80.90665
"Austria","1997",49.56702
"Chile","1997",30.10981
"Spain","1997",50.54775
"Finland","1997",73.39403
"Greece","1997",43.48873
"Korea, Rep.","1997",69.23929
"Argentina","1998",46.9607
"Austria","1998",52.39628
"Chile","1998",32.00794
"Spain","1998",52.83373
"Finland","1998",79.17264
"Greece","1998",44.67811
"Korea, Rep.","1998",66.52222
"Argentina","1999",48.83172
"Chile","1999",35.36762
"Spain","1999",55.02773
"Finland","1999",81.38203
"Greece","1999",46.38552
"Korea, Rep.","1999",72.34547
"Argentina","2000",53.96481
"Chile","2000",35.3763
"Spain","2000",57.72711
"Finland","2000",82.32955
"Greece","2000",50.78434
"Korea, Rep.","2000",76.6555
"Argentina","2001",59.01155
"Spain","2001",59.78373
"Finland","2001",84.31597
"Greece","2001",58.03318
"Korea, Rep.","2001",79.56944
"Argentina","2002",62.74873
"Chile","2002",40.37825
"Spain","2002",61.58797
"Finland","2002",84.83998
"Greece","2002",64.92796
"Korea, Rep.","2002",82.14563
"Argentina","2003",65.17626
"Chile","2003",43.46954
"Spain","2003",63.96756
"Finland","2003",86.94398
"Greece","2003",70.00507
"Korea, Rep.","2003",84.3598
"Argentina","2004",65.48537
"Chile","2004",43.93025
"Spain","2004",66.09032
"Finland","2004",89.51747
"Greece","2004",76.22245
"Korea, Rep.","2004",87.48885
"Argentina","2005",63.96667
"Chile","2005",49.36884
"Spain","2005",67.15335
"Finland","2005",91.67952
"Greece","2005",85.31207
"Korea, Rep.","2005",91.69358
"Argentina","2006",66.96473
"Chile","2006",48.23467
"Spain","2006",68.53449
"Finland","2006",93.15745
"Greece","2006",90.09834
"Korea, Rep.","2006",97.05218
"Argentina","2007",66.41163
"Austria","2007",63.04729
"Chile","2007",53.95667
"Spain","2007",68.75185
"Finland","2007",93.75906
"Greece","2007",87.39504
"Korea, Rep.","2007",101.92818
"Argentina","2008",68.05695
"Austria","2008",65.8869
"Chile","2008",56.73127
"Spain","2008",69.74542
"Finland","2008",94.69184
"Korea, Rep.","2008",104.09288
"Argentina","2009",70.20646
"Austria","2009",68.11265
"Chile","2009",60.9115
"Spain","2009",71.58433
"Finland","2009",91.29066
"Korea, Rep.","2009",104.2781
"Argentina","2010",73.2314
"Austria","2010",75.62378
"Chile","2010",67.86343
"Spain","2010",75.91095
"Finland","2010",93.44781
"Greece","2010",103.79628
"Korea, Rep.","2010",102.79102
"Argentina","2011",76.2974
"Austria","2011",78.49945
"Chile","2011",72.27679
"Spain","2011",80.03797
"Finland","2011",94.91993
"Greece","2011",109.15926
"Korea, Rep.","2011",100.74714
"Argentina","2012",77.44629
"Austria","2012",78.93891
"Chile","2012",75.93107
"Spain","2012",82.27033
"Finland","2012",92.87735
"Greece","2012",113.7406
"Korea, Rep.","2012",97.42759
"Argentina","2013",78.2239
"Austria","2013",79.6554
"Chile","2013",79.95629
"Spain","2013",83.72564
"Finland","2013",90.99419
"Greece","2013",116.37682
"Korea, Rep.","2013",95.60864
"Argentina","2014",80.99581
"Austria","2014",79.1587
"Chile","2014",82.84638
"Spain","2014",85.44627
"Finland","2014",88.88166
"Greece","2014",122.402
"Korea, Rep.","2014",94.85205
"Argentina","2015",84.002
"Australia","2015",118.61086
"Austria","2015",80.71942
"Chile","2015",85.26672
"Spain","2015",85.61178
"Finland","2015",87.67987
"Korea, Rep.","2015",94.33984
"Argentina","2016",87.21345
"Australia","2016",120.96571
"Austria","2016",83.45495
"Chile","2016",87.18814
"Spain","2016",86.51608
"Finland","2016",86.97852
"Greece","2016",131.54086
"Korea, Rep.","2016",94.03362
"Singapore","2016",83.94098
"Argentina","2017",89.95852
"Australia","2017",113.14216
"Austria","2017",85.05714
"Chile","2017",88.46442
"Spain","2017",88.85301
"Finland","2017",88.19783
"Greece","2017",136.60257
"Korea, Rep.","2017",94.34969
"Singapore","2017",84.79291
