"year","Australia","Canada","France","Japan","Korea, Rep.","Russian Federation","United Kingdom","United States"
"1999",117485,32466,130952,56552,2869,NA,232540,451935
"2000",105764,36450,137085,59691,3373,41210,222936,475169
"2001",120987,42711,147402,63637,3850,64103,225722,475168
"2002",179619,49572,165437,74892,4956,70735,227273,582996
"2003",188160,59067,221567,86505,7843,68602,255233,586316
"2004",166954,65001,237587,117903,10778,75786,300056,572509
"2005",177034,69126,236518,125917,15497,90450,318399,590158
"2006",184710,68520,247510,130124,22260,77438,330078,584719
"2007",211526,92881,246612,125877,31943,60288,351470,595874
"2008",230635,93479,243436,126568,40322,136791,341791,624474
"2009",257637,95590,249143,131599,50030,129690,368968,660581
"2010",271231,106284,259935,141599,59194,NA,389958,684807
"2011",262597,120960,268212,151461,62675,165910,419946,709565
"2012",249588,135187,271399,150617,59472,173627,427686,740482
"2013",249868,151244,228639,135803,55536,NA,416693,784427
"2014",266048,NA,235123,NA,NA,213347,428724,842384
