"Country","Region","Enrollment","Population","GDPPerCapita"
"Albania","Europe & Central Asia",57.37526,2873457,13037.01002
"Argentina","Latin America & Caribbean",89.95852,44044811,23562.91883
"Armenia","Europe & Central Asia",52.25153,2944809,12115.05701
"Australia","East Asia & Pacific",113.14216,24601860,48905.4172
"Austria","Europe & Central Asia",85.05714,8797566,54637.00128
"Azerbaijan","Europe & Central Asia",27.06741,9854033,14121.40694
"Burundi","Sub-Saharan Africa",6.05016,10827024,773.5718584
"Belgium","Europe & Central Asia",79.66173,11375158,50725.18631
"Benin","Sub-Saharan Africa",12.27414,11175204,3044.513887
"Burkina Faso","Sub-Saharan Africa",6.0034,19193284,2053.504418
"Bangladesh","South Asia",18.15146,159670593,4161.090135
"Bulgaria","Europe & Central Asia",71.03066,7075947,21363.02909
"Bahrain","Middle East & North Africa",47.14588,1494074,47642.44829
"Belarus","Europe & Central Asia",88.45143,9498264,18280.19892
"Belize","Latin America & Caribbean",24.65664,375769,7108.8667
"Brazil","Latin America & Caribbean",51.3436,207833831,14519.84913
"Brunei Darussalam","East Asia & Pacific",33.56496,424473,60995.68111
"Botswana","Sub-Saharan Africa",24.85997,2205128,17253.23161
"Canada","North America",68.92251,36543321,48633.82978
"Switzerland","Europe & Central Asia",59.56299,8451840,67139.04992
"Chile","Latin America & Caribbean",88.46442,18470439,23663.88529
"China","East Asia & Pacific",49.07326,1386395000,14344.4204
"Cote d'Ivoire","Sub-Saharan Africa",9.34137,24437469,4830.751701
"Cameroon","Sub-Saharan Africa",12.76025,24566045,3554.525156
"Congo, Rep.","Sub-Saharan Africa",12.66688,5110702,3448.537208
"Colombia","Latin America & Caribbean",56.43403,48901066,14316.48581
"Cabo Verde","Sub-Saharan Africa",24.3977,537497,6643.204611
"Costa Rica","Latin America & Caribbean",55.74574,4949954,19112.40889
"Cyprus","Europe & Central Asia",75.94081,1179680,37766.90166
"Czech Republic","Europe & Central Asia",64.07869,10594438,38489.49631
"Germany","Europe & Central Asia",70.24665,82657002,53011.76816
"Denmark","Europe & Central Asia",80.61602,5764980,55064.90886
"Dominican Republic","Latin America & Caribbean",59.91559,10513131,16735.33259
"Algeria","Middle East & North Africa",47.64683,41389198,11550.55546
"Egypt, Arab Rep.","Middle East & North Africa",35.16452,96442593,11014.48614
"Spain","Europe & Central Asia",88.85301,46593236,39575.53515
"Estonia","Europe & Central Asia",69.63503,1317384,33820.91873
"Finland","Europe & Central Asia",88.19783,5508214,47481.21382
"France","Europe & Central Asia",65.629,66864379,44826.50747
"United Kingdom","Europe & Central Asia",59.99557,66058859,45974.86435
"Georgia","Europe & Central Asia",56.81128,3728004,13589.70739
"Ghana","Sub-Saharan Africa",16.01313,29121471,4996.638706
"Greece","Europe & Central Asia",136.60257,10754679,29089.01401
"Grenada","Latin America & Caribbean",100.19642,110874,16217.49985
"Hong Kong SAR, China","East Asia & Pacific",74.33425,7391700,59849.24818
"Honduras","Latin America & Caribbean",24.34098,9429013,5561.996312
"Croatia","Europe & Central Asia",67.86556,4124531,26595.73884
"Hungary","Europe & Central Asia",48.50038,9787966,29529.30923
"Indonesia","East Asia & Pacific",36.44444,264645886,10935.84175
"India","South Asia",27.44213,1338658835,6185.993893
"Ireland","Europe & Central Asia",77.78062,4807388,78128.18158
"Iran, Islamic Rep.","Middle East & North Africa",68.11609,80673951,14535.86306
"Iceland","Europe & Central Asia",71.84501,343400,55562.42662
"Israel","Middle East & North Africa",63.35469,8713300,38966.66269
"Italy","Europe & Central Asia",61.933,60536709,41784.62471
"Jordan","Middle East & North Africa",31.14041,9779173,9841.169557
"Kazakhstan","Europe & Central Asia",50.14618,18037776,24862.96612
"Kenya","Sub-Saharan Africa",11.46471,50221473,4046.208425
"Kyrgyz Republic","Europe & Central Asia",42.81687,6198200,5046.691535
"Cambodia","East Asia & Pacific",13.13428,16009414,3928.373688
"Korea, Rep.","East Asia & Pacific",94.34969,51361911,41001.06689
"Kuwait","Middle East & North Africa",55.3605,4056099,50855.49996
"Lao PDR","East Asia & Pacific",15.74091,6953035,7257.807932
"St. Lucia","Latin America & Caribbean",19.87521,180955,14945.759
"Sri Lanka","South Asia",18.96117,21444000,12584.10442
"Lesotho","Sub-Saharan Africa",10.76225,2091412,2783.115662
"Lithuania","Europe & Central Asia",72.41746,2828403,33821.19545
"Latvia","Europe & Central Asia",88.05743,1942248,28488.92361
"Morocco","Middle East & North Africa",33.78468,35581294,7314.154487
"Moldova","Europe & Central Asia",41.08352,2755158,11651.31745
"Madagascar","Sub-Saharan Africa",5.28453,25570540,1584.422678
"Maldives","South Asia",31.22359,496402,17988.69
"Mexico","Latin America & Caribbean",40.22896,124777324,19795.8685
"North Macedonia","Europe & Central Asia",42.45998,2081996,15528.91003
"Mali","Sub-Saharan Africa",4.5169,18512394,2248.260816
"Malta","Middle East & North Africa",54.25992,467999,41554.93791
"Montenegro","Europe & Central Asia",58.18562,622373,19627.08163
"Mongolia","East Asia & Pacific",64.16362,3113779,11311.79382
"Mozambique","Sub-Saharan Africa",7.12271,28649007,1283.65987
"Mauritania","Sub-Saharan Africa",4.99912,4282574,5077.195472
"Mauritius","Sub-Saharan Africa",40.59604,1264613,21415.11611
"Malaysia","East Asia & Pacific",43.71518,31105028,26648.32965
"Namibia","Sub-Saharan Africa",22.88816,2402603,10050.50121
"Niger","Sub-Saharan Africa",3.7329,21602472,1161.657065
"Netherlands","Europe & Central Asia",84.98045,17131296,55347.91239
"Norway","Europe & Central Asia",81.99235,5276968,62940.5875
"Nepal","South Asia",11.59123,27627124,3099.306082
"New Zealand","East Asia & Pacific",82.03322,4793900,41493.03413
"Oman","Middle East & North Africa",38.12801,4665935,29083.23669
"Pakistan","South Asia",9.34892,207896686,4571.414491
"Peru","Latin America & Caribbean",70.73786,31444297,12506.53017
"Philippines","East Asia & Pacific",35.47546,105173264,8120.842309
"Poland","Europe & Central Asia",67.82744,37974826,30152.74157
"Portugal","Europe & Central Asia",63.93581,10300300,33086.09677
"West Bank and Gaza","Middle East & North Africa",43.67197,4454805,5754.779242
"Qatar","Middle East & North Africa",16.62733,2724724,95058.46834
"Romania","Europe & Central Asia",49.38187,19587290,27191.66866
"Russian Federation","Europe & Central Asia",81.90931,144496740,26005.97994
"Rwanda","Sub-Saharan Africa",7.37393,11980937,1975.252453
"Saudi Arabia","Middle East & North Africa",69.69832,33099147,47309.1246
"Senegal","Sub-Saharan Africa",11.51301,15419381,3203.900758
"Singapore","East Asia & Pacific",84.79291,5612253,94940.97079
"El Salvador","Latin America & Caribbean",28.58629,6388122,8454.058198
"Serbia","Europe & Central Asia",66.48674,7020858,16534.33908
"Slovak Republic","Europe & Central Asia",46.63439,5439232,30907.42279
"Slovenia","Europe & Central Asia",78.589,2066388,36650.80219
"Sweden","Europe & Central Asia",66.98824,10057698,52739.01139
"Seychelles","Sub-Saharan Africa",19.72288,95843,27242.65605
"Togo","Sub-Saharan Africa",13.06133,7698475,1516.526046
"Tajikistan","Europe & Central Asia",31.25656,8880268,3089.530208
"Tunisia","Middle East & North Africa",32.14938,11433443,10605.25721
