"Country","Region","Enrollment","Population","GDPPerCapita"
"Albania","ECA",57.37526,2873457,13037.01002
"Argentina","LCR",89.95852,44044811,23562.91883
"Armenia","ECA",52.25153,2944809,12115.05701
"Australia","EAP",113.14216,24601860,48905.4172
"Austria","ECA",85.05714,8797566,54637.00128
"Azerbaijan","ECA",27.06741,9854033,14121.40694
"Burundi","SSA",6.05016,10827024,773.5718584
"Belgium","ECA",79.66173,11375158,50725.18631
"Benin","SSA",12.27414,11175204,3044.513887
"Burkina Faso","SSA",6.0034,19193284,2053.504418
"Bangladesh","SAR",18.15146,159670593,4161.090135
"Bulgaria","ECA",71.03066,7075947,21363.02909
"Bahrain","MNA",47.14588,1494074,47642.44829
"Belarus","ECA",88.45143,9498264,18280.19892
"Belize","LCR",24.65664,375769,7108.8667
"Brazil","LCR",51.3436,207833831,14519.84913
"Brunei Darussalam","EAP",33.56496,424473,60995.68111
"Botswana","SSA",24.85997,2205128,17253.23161
"Canada","NAR",68.92251,36543321,48633.82978
"Switzerland","ECA",59.56299,8451840,67139.04992
"Chile","LCR",88.46442,18470439,23663.88529
"China","EAP",49.07326,1386395000,14344.4204
"Cote d'Ivoire","SSA",9.34137,24437469,4830.751701
"Cameroon","SSA",12.76025,24566045,3554.525156
"Congo, Rep.","SSA",12.66688,5110702,3448.537208
"Colombia","LCR",56.43403,48901066,14316.48581
"Cabo Verde","SSA",24.3977,537497,6643.204611
"Costa Rica","LCR",55.74574,4949954,19112.40889
"Cyprus","ECA",75.94081,1179680,37766.90166
"Czech Republic","ECA",64.07869,10594438,38489.49631
"Germany","ECA",70.24665,82657002,53011.76816
"Denmark","ECA",80.61602,5764980,55064.90886
"Dominican Republic","LCR",59.91559,10513131,16735.33259
"Algeria","MNA",47.64683,41389198,11550.55546
"Egypt, Arab Rep.","MNA",35.16452,96442593,11014.48614
"Spain","ECA",88.85301,46593236,39575.53515
"Estonia","ECA",69.63503,1317384,33820.91873
"Finland","ECA",88.19783,5508214,47481.21382
"France","ECA",65.629,66864379,44826.50747
"United Kingdom","ECA",59.99557,66058859,45974.86435
"Georgia","ECA",56.81128,3728004,13589.70739
"Ghana","SSA",16.01313,29121471,4996.638706
